scope,requested_budget,stratum,metric,delta_definition,favorable_direction,paired_seed_records,unique_task_clusters,mean_delta,median_delta,cluster_mean_delta,bootstrap_ci_low,bootstrap_ci_high,lookahead_wins,ties,lookahead_losses
D7PM05_CLYGR_Somermeyer_2022,50,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,120,40,0.12201432467822801,0.07973855735012665,0.12201432467822801,0.0404603614016748,0.20137829026477475,15,39,66
D7PM05_CLYGR_Somermeyer_2022,50,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,120,40,-0.10788395833191147,-0.0894912591847662,-0.10788395833191144,-0.17072987436410522,-0.04280845113165725,9,30,81
D7PM05_CLYGR_Somermeyer_2022,50,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.2,0.0,-0.2,-0.45,0.0,3,42,15
D7PM05_CLYGR_Somermeyer_2022,50,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,0.1957194834112449,0.11969986228201625,0.19571948341124495,0.09857198825705393,0.3050806682207192,6,21,33
D7PM05_CLYGR_Somermeyer_2022,50,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.16784563844904857,-0.1337279588398952,-0.16784563844904857,-0.23670431492329466,-0.10324231267494881,0,15,45
D7PM05_CLYGR_Somermeyer_2022,50,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.2,0.0,-0.2,-0.4,0.0,3,42,15
D7PM05_CLYGR_Somermeyer_2022,50,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,0.04830916594521109,0.040421911165202884,0.048309165945211105,-0.07116575762690872,0.16366908871967997,9,18,33
D7PM05_CLYGR_Somermeyer_2022,50,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.04792227821477433,-0.042800873210006814,-0.047922278214774336,-0.14166352041744174,0.0592593498909704,9,15,36
D7PM05_CLYGR_Somermeyer_2022,100,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,120,40,0.12201432467822801,0.07973855735012665,0.12201432467822801,0.041474666542618326,0.2014182641146156,15,39,66
D7PM05_CLYGR_Somermeyer_2022,100,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,120,40,-0.10788395833191147,-0.0894912591847662,-0.10788395833191144,-0.1688742415658349,-0.04244346433476318,9,30,81
D7PM05_CLYGR_Somermeyer_2022,100,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.2,0.0,-0.2,-0.4,0.0,3,42,15
D7PM05_CLYGR_Somermeyer_2022,100,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,0.1957194834112449,0.11969986228201625,0.19571948341124495,0.09757539973016231,0.301523294882588,6,21,33
D7PM05_CLYGR_Somermeyer_2022,100,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.16784563844904857,-0.1337279588398952,-0.16784563844904857,-0.23934923518671913,-0.10137634546299543,0,15,45
D7PM05_CLYGR_Somermeyer_2022,100,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.2,0.0,-0.2,-0.45,0.0,3,42,15
D7PM05_CLYGR_Somermeyer_2022,100,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,0.04830916594521109,0.040421911165202884,0.048309165945211105,-0.07383825879504873,0.16186234200619173,9,18,33
D7PM05_CLYGR_Somermeyer_2022,100,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,-0.04792227821477433,-0.042800873210006814,-0.047922278214774336,-0.14310445984456113,0.05937366774523489,9,15,36
F7YBW8_MESOW_Aakre_2015,10,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,102,34,0.019853299730979997,0.0,0.019853299730979997,-0.007206651186998018,0.059080995786051624,9,84,9
F7YBW8_MESOW_Aakre_2015,10,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,102,34,0.023222199283542477,0.0,0.023222199283542477,0.0001591852528061685,0.0623930698425743,18,75,9
F7YBW8_MESOW_Aakre_2015,10,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,42,14,0.0,0.0,0.0,0.0,0.0,0,42,0
