start_state,oracle_target,valley_required,random_terminal,random_best_seen,random_steps,random_min_delta,random_downhill_steps,random_regret,greedy_terminal,greedy_best_seen,greedy_steps,greedy_min_delta,greedy_downhill_steps,greedy_regret,beam_terminal,beam_best_seen,beam_steps,beam_min_delta,beam_downhill_steps,beam_regret,lookahead_terminal,lookahead_best_seen,lookahead_steps,lookahead_min_delta,lookahead_downhill_steps,lookahead_regret,oracle_terminal,oracle_best_seen,oracle_steps,oracle_min_delta,oracle_downhill_steps,oracle_regret
2856,2003,False,28651.135617170705,33348.564850202776,3,-4697.429233032071,1,8321.734393184208,33860.64464972918,33860.64464972918,2,799.388724968303,0,3112.225360625729,32291.61620149135,34949.07317202024,3,-2657.4569705288886,1,4681.253808863563,30218.4519866583,36972.87001035491,3,-6754.418023696613,1,6754.418023696613,36972.87001035491,36972.87001035491,2,482.1600146851015,0,0.0
2930,2924,False,33933.84675913949,33933.84675913949,3,-325.73108146604227,1,1661.6992583815227,35595.54601752101,35595.54601752101,2,3797.640643244442,0,0.0,32967.27471428967,35559.49335270286,3,-2592.218638413193,1,2628.2713032313404,31119.07489054234,35595.54601752101,3,-4476.471126978671,1,4476.471126978671,35595.54601752101,35595.54601752101,2,3797.640643244442,0,0.0
2982,882,True,30069.48211075392,30069.48211075392,3,-2556.1441815747785,2,3801.8108865181894,29817.24933364372,29817.24933364372,0,0.0,0,4054.043663628392,31673.184174414982,31673.184174414982,3,-1506.322204675751,2,2198.108822857128,33871.29299727211,33871.29299727211,3,-1808.008009316145,2,0.0,33871.29299727211,33871.29299727211,3,-1808.008009316145,2,0.0
2994,882,True,27233.837050049777,27233.837050049777,3,-6012.887068674776,1,6637.455947222334,29817.24933364372,29817.24933364372,2,1506.322204675751,0,4054.043663628392,32967.27471428967,32967.27471428967,3,2063.5967425540184,0,904.0182829824407,33871.29299727211,33871.29299727211,3,-1808.008009316145,1,0.0,33871.29299727211,33871.29299727211,3,-1808.008009316145,1,0.0
3066,8382,False,25504.331113313543,25504.331113313543,3,-20820.152994325126,2,12129.542318978878,37633.87343229242,37633.87343229242,2,6060.370807216594,0,0.0,32967.27471428967,37633.87343229242,3,-4666.598718002751,1,4666.598718002751,32967.27471428967,37633.87343229242,3,-4666.598718002751,1,4666.598718002751,37633.87343229242,37633.87343229242,2,6060.370807216594,0,0.0
3564,1340,False,27015.402530511383,31038.83485462225,3,-4096.976845956091,1,7827.568821791407,34842.97135230279,34842.97135230279,2,3804.136497680538,0,0.0,31590.97511786886,33250.452646507554,3,-1659.477528638694,1,3251.996234433929,31086.928581276403,34842.97135230279,3,-3756.0427710263866,1,3756.0427710263866,34842.97135230279,34842.97135230279,2,3804.136497680538,0,0.0
3866,472,False,29124.416974092528,29225.565947154508,3,-1397.9684765257662,1,3403.8394933795935,32243.912910620274,32243.912910620274,2,3018.3469634657667,0,284.3435568518471,32528.25646747212,32528.25646747212,3,684.0097971570176,0,0.0,32528.25646747212,32528.25646747212,3,684.0097971570176,0,0.0,32528.25646747212,32528.25646747212,3,684.0097971570176,0,0.0
3956,58,False,32926.96174958157,32926.96174958157,3,1817.9754188012193,0,0.0,29275.47166627787,29275.47166627787,1,12527.580083998062,0,3651.490083303699,31331.876029652536,31331.876029652536,3,-1232.7861279687422,1,1595.085719929033,32926.96174958157,32926.96174958157,3,1817.9754188012193,0,0.0,32926.96174958157,32926.96174958157,3,1817.9754188012193,0,0.0
4209,4208,False,29904.17650616641,32602.434033941227,3,-2239.124900037361,2,6485.381294581643,36389.55780074805,36389.55780074805,2,3787.1237668068243,0,0.0,32967.27471428967,36223.89096496431,3,-3256.6162506746405,1,3422.283086458381,30164.59871616024,36389.55780074805,3,-6224.959084587812,1,6224.959084587812,36389.55780074805,36389.55780074805,2,3787.1237668068243,0,0.0
4482,9,True,30754.98861609364,30754.98861609364,3,-20.963935366558076,1,1922.3676224876072,23170.42506691197,23170.42506691197,3,20.96393536655819,0,9506.93117166928,29498.274274180458,29498.274274180458,3,17.368240592747497,0,3179.0819644007897,32677.356238581247,32677.356238581247,3,-20.963935366558076,1,0.0,32677.356238581247,32677.356238581247,3,-20.963935366558076,1,0.0
5136,4248,False,17813.36529437743,31214.733234749525,3,-11534.21227222998,2,15305.67809538731,33119.04338976474,33119.04338976474,2,1904.3101550152132,0,0.0,33061.25592476088,33061.25592476088,3,-269.1022639482035,1,57.787465003857506,30999.43106919104,33119.04338976474,3,-2119.6123205736985,1,2119.6123205736985,33119.04338976474,33119.04338976474,2,1904.3101550152132,0,0.0
5306,1352,False,35235.10533222958,36055.67961415663,3,-820.5742819270527,1,820.5742819270527,36055.67961415663,36055.67961415663,2,4707.7935672137355,0,0.0,35235.10533222958,36055.67961415663,3,-820.5742819270527,1,820.5742819270527,35235.10533222958,36055.67961415663,3,-820.5742819270527,1,820.5742819270527,36055.67961415663,36055.67961415663,2,4707.7935672137355,0,0.0
5416,6097,False,31249.85815182632,31249.85815182632,3,-2285.70854191322,1,4329.321147119856,33113.33219603592,33113.33219603592,2,2352.4592921711155,0,2465.8471029102584,32967.27471428967,35579.179298946176,3,-2611.904584656506,1,2611.904584656506,32967.27471428967,35579.179298946176,3,-2611.904584656506,1,2611.904584656506,35579.179298946176,35579.179298946176,2,2493.1512808489497,0,0.0
5986,1118,True,30596.937647770894,30596.937647770894,3,-3570.9299403168006,1,2329.403332960428,32184.732063560223,32184.732063560223,3,869.769307852388,0,741.6089171710992,32184.732063560223,32184.732063560223,3,869.769307852388,0,741.6089171710992,32926.34098073132,32926.34098073132,3,-1204.899799731007,1,0.0,32926.34098073132,32926.34098073132,3,-1204.899799731007,1,0.0
6008,9304,True,30892.33016935487,34107.70202167508,3,-4007.100310514841,2,6578.782241292545,34107.70202167508,34107.70202167508,0,0.0,0,3363.4103889723337,32161.231103318773,37471.112410647416,3,-5309.881307328644,2,5309.881307328644,32161.231103318773,37471.112410647416,3,-5309.881307328644,2,5309.881307328644,37471.112410647416,37471.112410647416,2,-173.8552625355951,1,0.0
6057,7218,False,2079.1307561266003,25264.055183412896,3,-24674.055183412896,1,31964.504693767638,34043.63544989424,34043.63544989424,2,2478.9271517101333,0,0.0,33061.25592476088,33860.64464972918,3,-799.388724968303,1,982.3795251333577,30535.24469159893,34043.63544989424,3,-3508.390758295307,1,3508.390758295307,34043.63544989424,34043.63544989424,2,2478.9271517101333,0,0.0
6188,5338,True,24904.37434993089,33125.33758606134,3,-8938.610373004678,2,8745.300366608135,33125.33758606134,33125.33758606134,0,0.0,0,524.3371304776883,31590.41534741095,33125.33758606134,3,-1696.0223618219497,2,2059.2593691280745,28795.27393933981,33649.674716539026,3,-4854.400777199215,2,4854.400777199215,33649.674716539026,33649.674716539026,2,-1696.0223618219497,1,0.0
